message,label
Can you send me the notes?,ham
Get rich fast with this scheme,spam
Win a free lottery ticket now,spam
Project deadline is tomorrow,ham
"Limited time offer, act now",spam
Exclusive deal just for you,spam
Claim your free vacation trip,spam
Project deadline is tomorrow,ham
Team meeting rescheduled to 3pm,ham
Double your income in a week,spam
Get rich fast with this scheme,spam
Don't forget the client call,ham
Win a free lottery ticket now,spam
Team meeting rescheduled to 3pm,ham
Project deadline is tomorrow,ham
"Congratulations, you won a prize",spam
"Congratulations, you won a prize",spam
Project deadline is tomorrow,ham
Get rich fast with this scheme,spam
Project deadline is tomorrow,ham
"Happy birthday, enjoy your day",ham
Earn money quickly without effort,spam
Win a free lottery ticket now,spam
Click here to claim your reward,spam
"Congratulations, you won a prize",spam
Team meeting rescheduled to 3pm,ham
Earn money quickly without effort,spam
Win a free lottery ticket now,spam
"Congratulations, you won a prize",spam
Exclusive deal just for you,spam
Let's go for lunch today,ham
Get rich fast with this scheme,spam
Meeting at 10am in office,ham
"Happy birthday, enjoy your day",ham
Earn money quickly without effort,spam
Click here to claim your reward,spam
Click here to claim your reward,spam
Get rich fast with this scheme,spam
Please review the attached report,ham
Click here to claim your reward,spam
"Limited time offer, act now",spam
Can you send me the notes?,ham
Can you send me the notes?,ham
Double your income in a week,spam
Double your income in a week,spam
Your order has been shipped,ham
Let's catch up this weekend,ham
Win a free lottery ticket now,spam
Get rich fast with this scheme,spam
"Limited time offer, act now",spam
Free entry in our cash contest,spam
Free entry in our cash contest,spam
Claim your free vacation trip,spam
Don't forget the client call,ham
"Limited time offer, act now",spam
Meeting at 10am in office,ham
Free entry in our cash contest,spam
Project deadline is tomorrow,ham
Your order has been shipped,ham
Win a free lottery ticket now,spam
"Limited time offer, act now",spam
Let's go for lunch today,ham
Please review the attached report,ham
Project deadline is tomorrow,ham
"Limited time offer, act now",spam
Double your income in a week,spam
Get rich fast with this scheme,spam
"Limited time offer, act now",spam
Win a free lottery ticket now,spam
Let's catch up this weekend,ham
Your order has been shipped,ham
Let's go for lunch today,ham
"Limited time offer, act now",spam
Don't forget the client call,ham
Claim your free vacation trip,spam
Please review the attached report,ham
Claim your free vacation trip,spam
"Congratulations, you won a prize",spam
Your order has been shipped,ham
Your order has been shipped,ham
Let's go for lunch today,ham
Meeting at 10am in office,ham
Let's go for lunch today,ham
"Congratulations, you won a prize",spam
Free entry in our cash contest,spam
Exclusive deal just for you,spam
Please review the attached report,ham
Project deadline is tomorrow,ham
Exclusive deal just for you,spam
Your order has been shipped,ham
"Limited time offer, act now",spam
Don't forget the client call,ham
Win a free lottery ticket now,spam
Meeting at 10am in office,ham
Free entry in our cash contest,spam
Let's go for lunch today,ham
Claim your free vacation trip,spam
Double your income in a week,spam
Click here to claim your reward,spam
Your order has been shipped,ham
